No,Date,Track,MinTemp,MaxTemp,Distance
1,25 March','AUSTRALIAN',14,24,307.574
2,'8 April','BAHRAIN ',21,29,308.238
3,'15 April','CHINESE ',11,19,305.066
4,'29 April','AZERBAIJAN ',9,16,306.049
5,'13 May','ESPAÑA ',14,22,307.104
6,'27 May','MONACO ',15,19,260.286
7,'10 June','CANADA ',12,23,305.27
8,'24 June','FRANCE ',16,26,305
9,'1 July','ÖSTERREICH ',12,24,306.452
10,'8 July','BRITISH ',12,21,306.198
11,'22 July','DEUTSCHLAND ',15,25,306.458
12,'29 July','NAGYDÍJ',15,27,306.63
13,'26 August','BELGIAN ',13,21,308.052
14,'2 September','DITALIA ',16,24,306.72
15,'16 September','MARINABAY',25,31,308.828
16,'30 September','RUSSIAN ',16,25,309.745
17,'7 October','JAPANESE ',13,22,307.471
18,'21 October','UNITEDSTATES',16,28,308.405
19,'28 October','DEMÉXICO',10,24,305.354
20,'11 November','BRASIL',17,27,305.909
21,'25 November','ABUDHABI',19,31,305.355
